"<!-- Include menu page --> 				 				 						 <!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint 	 <!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->","<!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint 	 <!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->","<!-- logo, commented out for menu's sake. is this a nested table???.. ;) 	 --> <!-- same info as Database Monitor - comment it out 	 	 		 			 species 		 - venomous 		 - non venomous 		 - unknown 	 	 						 --> 	 	snakeDB 	Search 	LD50 	Taxonomy 	Systematik 	DBmonitor 	Imprint",snakeDB,Search,LD50,Taxonomy,Systematik,DBmonitor,Imprint,"<!-- google_ad_client = ""ca-pub-7838177538080172""; /* 160x600 snakeDB */ google_ad_slot = ""1583047148""; google_ad_width = 160; google_ad_height = 600; //--> <!-- -->"
206.,651,"Micrurus altirostris 							
Uruguayan Coral Snake",☠☠☠☠,131.0 cm							ref,,,,,,
207.,666,"Micrurus corallinus 							
Painted coral snake",☠☠☠☠,98.0 cm							ref,,,,,,
208.,671,"Micrurus distans 							
West Mexican coral snake",☠☠☠☠,107.5 cm							ref,,2.40 														 mm							ref,,,,
209.,324,"Bothrops cotiara 							
Cotiara",☠☠☠☠,100.0 cm							ref,,,,,,7.03 mg/kg														ref
210.,211,"Bothrops ayerbei 							
Ayerbe's Lancehead",☠☠☠☠,130.0 cm							ref,,,,,,
211.,678,"Micrurus hemprichii 							
Hemprich's coral snake",☠☠☠☠,91.0 cm							ref,,,,,,
212.,680,"Micrurus ibiboboca 							
Caatinga coral snake",☠☠☠☠,133.0 cm							ref,48.5 gr							ref,,,,,
213.,685,"Micrurus lemniscatus 							
South American coral snake",☠☠☠☠,145.0 cm							ref,38.5 gr							ref,,,,,
214.,691,"Micrurus mipartitus 							
Redtail coral snake",☠☠☠☠,120.0 cm							ref,,,,,,
215.,206,"Bothrops pauloensis 							
Black faced Lancehead",☠☠☠☠,85.0 cm							ref,,,,,,
216.,201,"Bothrops insularis 							
Golden lancehead viper",☠☠☠☠,120.0 cm							ref,,,,,,8.2 mg/kg														ref
217.,170,"Agkistrodon taylori 							
Castellana",☠☠☠☠,96.0 cm							ref,,,,,,
218.,718,"Micrurus spixii 							
Amazon coral snake",☠☠☠☠,160.0 cm							ref,,,,,,
219.,723,"Micrurus surinamensis 							
Aquatic coral snake",☠☠☠☠,135.0 cm							ref,,,,,,
220.,836,"Tropidechis carinatus 							
Clarence river snake",☠☠☠☠,100.0 cm							ref,170.0 gr							ref,5 														 mm							ref,84 mg								ref,,,0.58 mg/kg														ref
221.,789,"Pseudonaja textilis 							
Eastern brown snake",☠☠☠☠,240.0 cm							ref,,4 														 mm							ref,155 mg								ref,,,0.041 mg/kg														ref
222.,788,"Pseudonaja nuchalis 							
Western brown snake",☠☠☠☠,180.0 cm							ref,464.0 gr							ref,,74 mg								ref,,,0.338 mg/kg														ref
223.,784,"Pseudonaja inframacula 							
Peninsula brown snake",☠☠☠☠,170.0 cm							ref,,,76.21 mg								ref,,,0.25 mg/kg														ref
224.,732,"Naja ashei 							
Giant spitting cobra",☠☠☠☠,274.3 cm							ref,,,3000 mg								ref,,,
225.,783,"Pseudonaja guttata 							
Speckled brown snake",☠☠☠,147.0 cm							ref,,,6 mg								ref,,,
226.,734,"Naja christyi 							
Congo water cobra",☠☠☠☠,190.0 cm							ref,,,,,,
227.,780,"Pseudonaja affinis 							
Dugite",☠☠☠☠,213.0 cm							ref,1500.0 gr							ref,,143 mg								ref,,,0.56 mg/kg														ref
228.,773,"Pseudechis papuanus 							
Papuan black snake",☠☠☠☠,245.0 cm							ref,,,,,,1.09 mg/kg														ref
229.,771,"Pseudechis guttatus 							
Blue bellied black snake",☠☠☠☠,200.0 cm							ref,,3.50 														 mm							ref,213 mg								ref,,,1.53 mg/kg														ref
230.,770,"Pseudechis colletti 							
Collett's black snake",☠☠☠,240.0 cm							ref,,,226 mg								ref,,,2.38 mg/kg														ref
231.,769,"Pseudechis butleri 							
Butler's black snake",☠☠☠☠,160.0 cm							ref,,,64 mg								ref,,,
232.,761,"Oxyuranus temporalis 							
Central Ranges taipan",☠☠☠☠,166.3 cm							ref,482.0 gr							ref,3 														 mm							ref,,,,
233.,759,"Oxyuranus microlepidotus 							
Inland taipan",☠☠☠☠,250.0 cm							ref,838.0 gr							ref,6.20 														 mm							ref,217 mg								ref,,,0.01 mg/kg														ref
234.,597,"Hydrophis schistosus 							
Beaked sea snake",☠☠☠☠,158.0 cm							ref,2000.0 gr							ref,4 														 mm							ref,80 mg								ref,,,0.164 mg/kg														ref
235.,3363,"Hydrophis ornatus 							
Ornate reef sea snake",☠☠☠☠,170.0 cm							ref,,,,,,
236.,645,"Hydrophis spiralis 							
Narrow banded Sea Snake",☠☠☠☠,275.0 cm							ref,,,,,,
237.,622,"Hydrophis melanosoma 							
Black banded Robust Sea Snake",☠☠☠☠,155.0 cm							ref,,,,,,
238.,749,"Naja philippinensis 							
Northern Philippine cobra",☠☠☠☠,200.0 cm							ref,,,250 mg								ref,,,0.2 mg/kg														ref
239.,543,"Hydrophis belcheri 							
Belcher's sea snake",☠☠☠☠,122.0 cm							ref,260.0 gr							ref,,,,,
240.,494,"Hydrophis peronii 							
Horned Sea Snake",☠☠☠☠,140.0 cm							ref,,,1 mg								ref,,,0.062 mg/kg														ref
241.,620,"Hydrophis klossi 							
Selangor Sea Snake",☠☠☠☠,142.0 cm							ref,,,,,,
242.,843,"Walterinnesia aegyptia 							
Western black desert cobra",☠☠☠☠,130.0 cm							ref,321.0 gr							ref,,,,,0.4 mg/kg														ref
243.,495,"Acanthophis antarcticus 							
Common Death Adder",☠☠☠☠,100.0 cm							ref,252.0 gr							ref,8.30 														 mm							ref,236 mg								ref,,,0.338 mg/kg														ref
244.,628,"Hydrophis jerdonii 							
Cone nosed Sea Snake",☠☠☠☠,117.0 cm							ref,,,,,,
245.,503,"Aipysurus duboisii 							
Dubois' sea snake",☠☠☠☠,148.0 cm							ref,,1.80 														 mm							ref,1.7 mg								ref,,,0.032 mg/kg														ref
246.,516,"Austrelaps superbus 							
Lowland copperhead",☠☠☠☠,175.0 cm							ref,339.0 gr							ref,4.50 														 mm							ref,155 mg								ref,,,0.5 mg/kg														ref
247.,554,"Cryptophis nigrescens 							
Small eyed snake",☠☠☠☠,120.0 cm							ref,35.0 gr							ref,,,,,2.67 mg/kg														ref
248.,558,"Demansia olivacea 							
Olive whip snake",☠☠☠,110.0 cm							ref,,,,,,14.2 mg/kg														ref
249.,594,"Emydocephalus annulatus 							
Annulated Turtle headed Sea Snake",☠☠,105.0 cm							ref,,0.15 														 mm							ref,1.2 mg								ref,,,25 mg/kg														ref
250.,611,"Hoplocephalus stephensii 							
Stephen's Banded Snake",☠☠☠,100.0 cm							ref,104.0 gr							ref,,154 mg								ref,,,1.36 mg/kg														ref
251.,642,"Hydrophis melanocephalus 							
Black headed Slender necked Sea Snake",☠☠☠☠,161.0 cm							ref,,,,,,0.111 mg/kg														ref
252.,630,"Hydrophis curtus 							
Short Sea Snake",☠☠☠☠,150.0 cm							ref,147.1 gr							ref,3.30 														 mm							ref,15 mg								ref,,,
